,Id,PID,MS SubClass,MS Zoning,Lot Area,Street,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice,Best Condition,Total Sqft,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Exter Cond_Ex,Exter Cond_Fa,Exter Cond_Gd,Exter Cond_Po,Exter Cond_TA,Lot Shape_IR1,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_WD 
11,2752,906380150,20,RL,7488,Pave,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,TA,Av,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,Ex,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,Typ,0,Attchd,2005.0,RFn,2.0,632.0,Y,105,58,0,0,0,0,0,2,2006,183600,1,2416.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
12,807,906226060,70,RL,26400,Pave,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,Ex,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,Mod,1,Attchd,1900.0,Unf,2.0,576.0,P,0,0,0,0,0,0,0,6,2009,131000,1,2016.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
13,1177,533236070,160,FV,2645,Pave,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,Gd,PConc,Gd,TA,No,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,Ex,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,Typ,0,Detchd,2000.0,Unf,2.0,480.0,Y,169,0,0,0,0,0,0,12,2008,200000,1,2567.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
14,1480,907418040,20,RL,9627,Pave,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,PConc,Gd,TA,Av,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,Ex,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,Typ,0,Attchd,2007.0,RFn,2.0,610.0,Y,0,50,0,0,0,0,0,6,2008,193000,1,2712.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
15,324,923202105,20,RL,10114,Pave,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,Ex,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,Typ,0,Attchd,2004.0,RFn,2.0,624.0,Y,0,0,0,0,0,0,0,3,2010,173500,1,2860.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
16,1311,902301140,70,RM,4571,Pave,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,624.0,624.0,GasA,Fa,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,Typ,0,Detchd,1916.0,Unf,3.0,513.0,Y,0,0,96,0,0,0,0,5,2008,98000,1,1968.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
17,770,905101490,20,RL,8816,Pave,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,TA,TA,No,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,TA,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1963.0,Unf,2.0,480.0,Y,0,80,0,0,0,0,0,6,2009,139000,1,2242.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
18,2063,905107140,20,RL,8197,Pave,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,Typ,1,Attchd,1977.0,RFn,2.0,528.0,Y,138,0,0,0,0,0,0,4,2007,143500,1,1945.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
19,69,528458070,60,FV,8640,Pave,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,Ex,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,Typ,0,Attchd,2009.0,Unf,2.0,614.0,Y,169,45,0,0,0,0,0,6,2010,215200,1,2303.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
20,2062,905106150,20,RL,8724,Pave,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,Gd,TA,No,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,Gd,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,Typ,1,Attchd,1968.0,Fin,2.0,450.0,Y,0,0,0,0,0,0,0,5,2007,129000,1,1788.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
21,351,527131030,120,RL,5664,Pave,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,PConc,Gd,TA,No,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,Ex,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,Typ,1,Attchd,2000.0,Fin,2.0,499.0,Y,212,59,0,0,0,0,0,10,2009,278000,1,3160.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
22,2393,528142010,60,RL,12867,Pave,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,0,99.69590931493346,Gd,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,Ex,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,Typ,1,Attchd,2005.0,Fin,2.0,575.0,Y,243,142,0,0,0,0,0,7,2006,344133,1,3462.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
23,12,527165230,20,RL,7980,Pave,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,TA,6,Typ,0,Attchd,1992.0,Fin,2.0,420.0,Y,483,21,0,0,0,0,500,3,2010,185000,1,2355.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
24,2339,527250040,190,RL,34650,Pave,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,TA,Mn,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,TA,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,TA,5,Typ,0,Attchd,1955.0,Fin,2.0,572.0,Y,264,0,0,0,0,0,0,1,2006,145000,1,2112.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
25,624,535104120,20,RL,10573,Pave,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,TA,CBlock,TA,TA,No,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,Ex,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,TA,6,Typ,1,Attchd,1961.0,RFn,2.0,530.0,Y,0,49,0,0,288,0,0,4,2009,187500,1,2906.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
26,86,532376160,20,RL,8450,Pave,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,TA,No,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,Ex,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,TA,5,Typ,1,Detchd,1973.0,Unf,1.0,336.0,Y,416,144,0,0,0,0,0,4,2010,138500,1,1788.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
27,1534,909277040,50,RL,11700,Pave,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,CBlock,TA,TA,No,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,Ex,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,Gd,7,Min2,1,Detchd,1937.0,Unf,1.0,240.0,Y,0,40,0,0,0,0,0,7,2008,198000,1,2880.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
28,2243,911103060,190,C (all),8250,Pave,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,957.0,957.0,GasA,Fa,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,TA,9,Typ,0,0,1937.0,0,0.0,0.0,N,0,0,133,0,0,0,0,6,2007,119600,1,2948.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
29,1957,535450190,50,RL,8064,Pave,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,CBlock,TA,TA,Mn,Unf,0.0,Unf,0.0,672.0,672.0,GasA,Ex,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,TA,6,Typ,1,Detchd,2003.0,Unf,2.0,576.0,Y,0,0,0,0,0,0,2000,7,2007,122900,1,1596.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
30,380,527355150,20,RL,9600,Pave,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,Gd,PConc,Gd,TA,No,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,TA,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,Gd,9,Typ,1,Attchd,1981.0,Fin,2.0,542.0,Y,474,120,0,0,0,0,0,7,2009,278000,1,5048.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
31,2860,909276010,70,RL,11435,Pave,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Fa,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,Gd,7,Typ,2,Detchd,1931.0,Unf,2.0,400.0,Y,0,0,0,0,0,0,0,6,2006,230000,1,2309.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
32,2517,533250130,120,RL,9549,Pave,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,Gd,PConc,Gd,Gd,Av,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,Ex,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,Ex,6,Typ,1,Attchd,1995.0,Fin,2.0,481.0,Y,0,30,0,0,216,0,0,4,2006,270000,1,2988.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
33,1933,535302070,20,RL,10950,Pave,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,CBlock,TA,TA,No,ALQ,441.0,Unf,0.0,507.0,948.0,GasA,TA,Y,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,TA,5,Typ,0,Detchd,1952.0,Unf,2.0,410.0,N,0,48,0,0,0,0,0,4,2007,125000,1,1896.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
34,820,906340110,20,RL,10637,Pave,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,PConc,Ex,TA,Gd,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,Ex,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Attchd,2007.0,RFn,3.0,826.0,Y,208,44,0,0,0,0,0,9,2009,297000,1,3423.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
35,675,535426150,20,RL,9000,Pave,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,TA,CBlock,Gd,TA,Gd,Unf,0.0,Unf,0.0,160.0,160.0,GasA,Fa,Y,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,TA,5,Typ,1,Basment,1958.0,RFn,1.0,384.0,Y,0,28,64,0,0,0,0,4,2009,113500,1,1302.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
36,2910,923225240,160,RM,2665,Pave,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,PConc,TA,TA,No,ALQ,548.0,Rec,173.0,36.0,757.0,GasA,Ex,Y,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,TA,6,Typ,1,Attchd,1977.0,RFn,1.0,336.0,Y,104,26,0,0,0,0,0,7,2006,127000,1,2232.0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
37,21,527358140,20,RL,11751,Pave,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,TA,7,Typ,1,Attchd,1977.0,RFn,2.0,546.0,Y,0,122,0,0,0,0,0,1,2010,190000,1,3688.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
38,1873,534177210,20,RL,9600,Pave,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,CBlock,TA,TA,No,ALQ,916.0,Unf,0.0,326.0,1242.0,GasA,Fa,Y,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,TA,6,Typ,1,Attchd,1973.0,Unf,2.0,528.0,Y,0,0,0,0,0,0,0,9,2007,175500,1,2484.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
39,2125,907135050,20,RL,8428,Pave,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,Gd,Gd,No,GLQ,420.0,Unf,0.0,570.0,990.0,GasA,Ex,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,TA,5,Typ,0,Detchd,1995.0,Unf,1.0,384.0,Y,256,0,0,0,0,0,0,7,2007,146000,1,1980.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,1489,908102260,20,RL,9937,Pave,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,CBlock,TA,TA,No,BLQ,830.0,LwQ,290.0,136.0,1256.0,GasA,Gd,Y,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,TA,6,Typ,0,Attchd,1965.0,Fin,1.0,276.0,Y,736,68,0,0,0,0,0,6,2008,147500,1,2512.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
41,2383,528110050,20,RL,13891,Pave,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0,99.69590931493346,Ex,PConc,Ex,Gd,Gd,GLQ,1386.0,Unf,0.0,690.0,2076.0,GasA,Ex,Y,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,Ex,7,Typ,1,Attchd,2006.0,Fin,3.0,850.0,Y,216,229,0,0,0,0,0,9,2006,465000,1,4152.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
